"","ID","Voter.ID","Weight","Time.Created","Choice","Proposal.ID","Space.ID","N.Votes"
"1","0x5a9f02edb0eb87995c52d540c7811799c0c0ecec4bc66832e509fbc1d4b28ef7","0x8EE8fd1B19Fb7ceB4A640807B7a9327F55FD658E",1,1654536355,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",5
"2","QmUQCH6cpoYiZyaxN9bx46cfPtCbGmYh9My9Ep5hprRJRJ","0xAE1Bd12B418C79D565E1A41c77DD6F9C482C829e",1,1654532185,2,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",4
"3","0xa7e582fd55aa7a8c1264ac2b8af2703ae971d0b77d0b403133601eccc1c92673","0x6986E8C8Da33753443959690c240B03931Bd1Edc",23,1654521883,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",6
"4","0xb5c0000f0fab0d4b72723faff2f8c0bde991a91cca27de9c54aec3dd1f2e1210","0xaBfd1fffFD163A449B3119D1B9BbeFBcaE04Ba27",1,1654518897,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",4
"5","0xfac68e99ac6e47b502896dfc89b35bba7c7f5d1c1f2caa187db00e394e372584","0x68e858455EF7cab11152D1AFaBC5c106b690b014",1,1654518763,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",4
"6","0x2c6f3687c87a81d0ca46675d1cf5d7eb9fd404cca69f6cf6f5fdbf6d7e85f4b3","0x3C6Fe781B36cb2C89e1C355572e21022f6B65372",1,1654503094,2,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",6
"7","0xc966c3aef4344fbc5e5e7cca019ac09275f969577f99ff6a20dc8550bafb5f7c","0x95F50Cf888dFeC90321dC376c1E695F15B081595",1,1654496912,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",5
"8","0x1b1d7f1011eb01850491dcc08e0689b346b8a293a63a75c3bdaea0148212b920","0x7632F73359e198D0E9aF613a8043dc1125890e7d",1,1654463335,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",4
"9","QmW88Z6LVSDtKzDVJsE1AbMXUUagy9FRYuB14oRvrmdcpd","0xBd48b22039146ccd80c96D516cA5FE61f4133b4E",1,1654446586,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",4
"10","0x106139a82fe40ec77519da13c2770df34ead2827e28baf415a353f3ddf4fc487","0x9d9E26932d012b2Ab21B974fE1552F4025b1e1Cc",1,1654260517,2,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",4
"11","0x732f0e3436936d084342917739c3647c6c4e5a5c374f2b861a519a2b66c0c0ed","0x5759252489D5Ab3A1Bb7b120133b7D6C73b21B73",1,1654239077,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",5
"12","0x5fc7011f74a0f874e2bb2d1bd26b9047ee0212fb0ca947cf9256d939847f65c1","0x3F40D51550db46321B96229E321fAB3cA233FCCc",1,1654199037,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",4
"13","0x39f053b57e297c2b0bd57cdfe17eef6724da8e2f7f462a6881df26846ea4b31c","0xB7600Eb258f11BEF339bEe274cF39E8373ABF015",1,1654189973,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",4
"14","0xf7bed7394766216a0697d94a76b81f43f53b2bf21d519fe375fa6104c93010d6","0x2ad91063e489CC4009DF7feE45C25c8BE684Cf6a",3,1654189254,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",4
"15","0x722573d4385fcbbd321542e1b9389232954fde4469982855561e04240869288c","0xf28AB805D6Edee246443AC25E3C4aA4A2B56c586",1,1654186179,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",5
